Hu1,Hu2,Clase
0.59154481,0.30686214,1
0.5353569,0.24696347,1
0.5163391,0.22919621,1
0.5029055,0.21527936,1
0.60721441,0.32438479,1
0.52371841,0.23544032,1
0.49172446,0.20750478,1
0.51610142,0.23022138,1
0.50215017,0.21666201,1
0.51784929,0.23073372,1
0.19718745,0.00001437,2
0.19705092,0.00005566,2
0.19261855,0.00004429,2
0.19267422,0.00003365,2
0.19387235,0.00001815,2
0.19519503,0.00000321,2
0.19674845,0.00004201,2
0.19655125,0.00005244,2
0.19518315,0.00003279,2
0.1950513,0.00002288,2
0.79850252,0.3674982,3
0.82124518,0.39511226,3
0.80266485,0.38276165,3
0.86495805,0.44286341,3
0.76377483,0.31075711,3
0.80085784,0.34709333,3
0.76804117,0.33380987,3
0.79066348,0.34998216,3
0.79229669,0.35563176,3
0.80582041,0.37237463,3
1.81361464,2.4907048,4
1.68430528,2.25051967,4
1.57651816,1.96876851,4
1.7050779,2.24493041,4
1.77250048,2.39146912,4
1.87580202,2.66400394,4
1.61920803,1.93151335,4
1.71847022,2.09219264,4
1.54398718,1.70070861,4
1.52913535,1.7512974,4
0.25924054,0.0215192,5
0.25968279,0.02276338,5
0.26206746,0.02350328,5
0.26307097,0.02349659,5
0.25959913,0.02143831,5
0.2574299,0.02039841,5
0.25006571,0.01751382,5
0.25283793,0.01882642,5
0.25200075,0.01866213,5
0.25735007,0.02049163,5
